ปริมาณฝน(มิลลิเมตร) ราย 3 ชั่วโมง เฉลี่ย 2 สถานี ปี 2022-2024,,,,,,,,,,,,,
ที่,วันที่,วันที่,,,เวลาทำการตรวจ,,,,,,,,รวม
,,วัน,เดือน,ปี,0100,0400,0700,1000,1300,1600,1900,2200,
348,14/12/2022,14,12,2022,0,0,0,0,0,0,0,0,0
349,15/12/2022,15,12,2022,0,0,0,0,0,0,0,0,0
350,16/12/2022,16,12,2022,0,0,0,0,0,0,0,0,0
351,17/12/2022,17,12,2022,0,0,0,0,0,0,0,0,0
352,18/12/2022,18,12,2022,0,0,0,0,0,0,0,0,0
353,19/12/2022,19,12,2022,0,0,0,0,0,0,0,0,0
354,20/12/2022,20,12,2022,0,0,0,0,0,0,0,0,0
355,21/12/2022,21,12,2022,0,0,0,0,0,0,0,0,0
356,22/12/2022,22,12,2022,0,0,0,0,0,0,0,0,0
357,23/12/2022,23,12,2022,0,0,0,0,0,0,0,0,0
358,24/12/2022,24,12,2022,0,0,0,0,0,0,0,0,0
359,25/12/2022,25,12,2022,0,0,0,0,0,0,0,0,0
360,26/12/2022,26,12,2022,0,0,0,0,0,0,0,0,0
361,27/12/2022,27,12,2022,0,0,0,0,0,0,0,0,0
